,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
11,Clinton C403/C304/AH113,3,Reg,52,50,55,36,30,26,28,20,24,69,91,52,28,18,32,40,68,33,15,14,23,34,NV,NV,60,56,63,39,43,9,13
12,Houston North Wayside C405/C1033,1,Reg,55,63,70,42,38,34,29,23,28,54,76,44,32,23,34,34,58,39,18,14,27,32,NV,NA,NA,NV,56,31,41,5,7
13,Houston Monroe C406,1,Reg,36,43,49,33,25,24,26,18,20,63,76,46,28,17,25,40,77,31,18,17,22,28,45,58,60,53,61,44,32,8,15
14,Lang C408,2,Reg,44,64,60,46,40,34,30,24,36,77,86,58,30,25,28,34,68,39,21,20,28,30,45,46,60,56,67,43,47,9,16
15,Houston Croquet C409,2,Reg,35,46,51,35,27,27,28,19,23,59,79,53,29,20,26,36,67,31,16,17,26,31,43,69,69,61,75,54,37,12,19
16,Houston Westhollow C410/C3003,1,Reg,33,48,46,38,30,26,27,20,26,52,70,46,25,18,23,31,64,30,20,18,24,27,38,56,65,62,72,55,38,13,18
17,Houston Texas Avenue C411,1,Reg,44,50,50,37,32,29,29,19,26,81,82,50,30,20,31,35,65,34,16,15,25,31,44,52,59,NV,60,37,40,8,12
18,Park Place C416,1,Reg,48,54,58,40,33,31,31,24,27,74,93,56,34,21,31,42,79,36,20,19,26,34,55,66,63,60,68,45,41,9,16
19,Sheldon C551,1,Non,57,57,68,58,43,37,36,26,39,49,NV,59,41,28,38,34,59,48,21,13,30,42,NV,NV,61,56,63,33,41,9,12
20,Baytown Wetlands Center C552,1,Non,78,52,59,45,NV,30,33,24,30,47,76,57,42,23,35,36,73,36,24,17,29,44,66,51,66,59,65,39,29,16,13
21,Crosby Library C553,1,Non,61,69,56,77,57,44,44,38,46,39,68,74,52,30,38,34,59,55,27,15,47,42,53,50,62,56,64,32,37,14,16
22,West Houston C554,1,Non,33,57,51,44,35,29,30,21,31,67,82,49,29,22,26,31,72,38,23,22,27,33,41,59,67,65,74,55,46,17,22
23,La Porte Sylvan Beach C556,1,Non,NA,NA,NA,NA,NV,31,33,22,28,60,77,60,40,25,30,45,80,36,25,21,29,37,NV,NV,66,58,64,48,32,21,20
24,Mercer Arboretum C557,1,Non,57,84,83,67,57,50,43,35,54,45,69,71,42,32,39,33,55,53,30,28,37,37,47,52,66,61,69,40,50,16,22
25,Tom Bass C558,1,Non,34,43,48,33,25,24,27,20,21,56,78,51,29,18,24,41,74,31,18,17,23,28,45,64,67,62,74,52,30,8,16
26,Katy Park C559,1,Non,28,49,47,34,28,NV,27,18,26,51,73,49,26,18,24,30,53,32,20,20,25,29,38,56,64,63,69,55,40,16,23
27,Atascocita C560,1,Non,60,79,74,65,56,45,41,31,50,42,66,71,45,35,40,30,64,50,27,21,39,39,49,50,60,55,63,32,43,13,16
28,Meyer Park C561,1,Non,40,87,76,55,47,38,35,26,46,58,75,64,35,24,30,31,63,44,25,26,29,31,52,52,63,57,65,41,51,16,23
29,Bunker Hill Village C562,1,Non,40,55,53,41,35,29,29,22,29,72,91,49,27,21,25,33,71,33,19,16,25,28,40,54,66,64,76,50,38,11,14
30,Clear Brook High School C570,1,Non,36,45,55,32,25,23,26,21,21,58,71,52,28,18,20,37,74,28,16,NA,NA,NA,NA,NA,NV,59,69,48,29,12,14
31,Clear Creek High School C571,1,Non,42,44,55,33,24,23,26,21,23,55,70,52,30,20,20,40,72,21,18,18,26,28,51,57,64,58,63,45,32,14,14
32,Clear Lake High School C572,1,Non,46,57,63,38,29,25,28,21,23,62,80,56,34,22,24,43,83,33,22,20,28,37,60,58,67,60,68,46,31,17,17
33,HRM-3 Haden Road C603/A114,1,Non,62,60,75,28,22,31,31,23,34,60,72,41,34,22,36,38,64,41,19,NV,26,38,55,49,59,53,62,38,41,8,10
34,Wallisville Road C617,1,Non,69,67,57,76,51,44,45,31,44,46,75,71,53,27,48,36,64,44,30,19,34,50,69,53,65,58,65,36,37,NV,15
35,Danciger C618,1,Non,30,29,38,24,20,19,26,15,15,21,46,35,18,14,19,29,55,22,17,16,21,25,30,43,77,76,84,68,22,14,16
36,Mustang Bayou C619,1,Non,36,37,47,31,24,23,28,18,21,43,70,49,29,21,19,NV,70,25,19,21,27,27,37,75,77,65,72,53,27,16,15
37,Texas City 34th St. C620,1,Non,40,42,51,32,22,20,26,14,16,34,65,49,29,15,18,41,73,19,18,16,20,21,37,65,68,62,64,47,24,15,21
38,UH Moody Tower C695,1,Non,NV,62,64,47,41,37,37,28,32,92,102,68,NV,NV,39,46,84,45,26,26,33,40,62,70,73,66,75,49,50,15,22
39,U of H-Sugarland C696,1,Non,30,42,44,36,27,24,28,20,25,44,63,48,27,18,24,37,66,34,21,20,25,31,37,65,75,70,84,65,40,16,22
40,UH Coastal Center C697,1,Non,35,39,54,30,25,22,26,17,18,43,73,52,29,18,20,43,82,23,20,19,25,27,38,71,70,63,65,50,29,17,17
41,UH WG Jones Forest C698,1,Non,47,92,83,59,57,53,43,35,66,43,69,79,43,37,30,38,68,59,30,36,34,33,44,53,69,65,71,47,54,25,31
42,UH West Liberty C699,1,Non,48,62,53,71,62,45,48,44,43,34,59,NV,NV,34,42,38,60,60,35,26,41,45,44,55,64,58,65,32,38,21,17
43,Lynchburg Ferry C1015/A165,1,Reg,69,58,68,64,37,34,38,23,34,51,80,54,42,22,40,38,67,NV,23,21,28,38,68,49,59,55,61,NA,NA,NA,NV
44,Lake Jackson C1016,1,Reg,32,27,41,23,16,16,24,14,15,25,49,41,18,14,15,27,48,20,16,16,22,22,32,52,80,64,72,62,22,14,16
45,Galveston 99th St. C1034/A320/X183,1,Reg,31,31,NA,NV,20,19,20,16,16,NA,NV,48,35,15,16,38,79,30,19,15,20,18,33,73,81,72,68,49,40,16,25
0,Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1,Houston East C1/G316,2,Reg,6,6,14,29,48,36,9,11,37,48,22,16,16,22,37,88,58,37,13,22,20,19,25,60,45,31,18,20,26,33,46
2,Houston Aldine C8/AF108/X150,2,Reg,15,8,17,36,49,37,17,14,53,59,32,21,21,30,51,92,68,42,17,28,28,24,34,70,46,50,25,24,34,43,45
3,Channelview C15/AH115,3,Reg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,83,68,39,16,24,21,21,24,41,43,35,20,18,29,39,50
4,Northwest Harris Co. C26/A110/X154,2,Reg,17,12,23,32,46,40,19,19,66,46,24,20,21,27,30,46,NV,NA,NV,35,35,30,34,59,44,55,24,25,37,25,31
5,Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,16,NV,23,32,41,44,19,18,38,52,21,17,20,26,31,61,55,41,20,30,23,23,27,35,63,37,23,23,29,29,50
6,Seabrook Friendship Park C45,1,Reg,18,15,28,30,42,46,22,20,34,65,19,17,18,21,30,61,49,37,21,28,23,21,24,30,52,32,22,21,21,27,44
7,Houston Bayland Park C53/A146,1,Reg,11,8,18,21,29,51,17,14,31,44,20,16,16,20,30,44,42,37,15,23,25,23,21,64,58,39,19,20,23,26,30
8,Conroe Relocated C78/A321,1,Reg,16,15,17,32,35,28,15,19,36,50,28,21,28,40,35,39,40,34,24,24,24,20,33,30,33,43,27,29,41,26,30
9,Houston Regional Office C81,1,Reg,6,5,13,22,46,38,10,10,NV,44,20,13,14,19,31,54,43,36,8,21,16,15,17,57,45,25,13,15,19,27,37
10,Manvel Croix Park C84,1,Reg,17,NV,NA,NA,NV,NV,NA,NA,NV,41,17,13,16,NV,20,31,42,34,13,20,23,22,21,44,66,40,20,20,23,22,31
11,Clinton C403/C304/AH113,3,Reg,12,8,18,27,47,40,12,13,38,46,21,13,15,19,30,62,49,38,12,26,21,20,22,67,50,27,17,17,27,25,38
12,Houston North Wayside C405/C1033,1,Reg,10,5,13,28,42,33,11,8,42,45,22,15,15,21,40,79,54,38,8,21,19,15,25,NV,38,30,18,15,25,35,40
13,Houston Monroe C406,1,Reg,14,9,16,19,35,40,16,14,33,39,19,14,16,19,23,36,43,38,15,25,22,22,19,40,65,30,19,20,23,22,32
14,Lang C408,2,Reg,9,4,14,22,44,37,12,9,39,49,24,19,20,26,37,69,52,37,13,26,28,23,24,77,49,41,17,20,26,29,33
15,Houston Croquet C409,2,Reg,13,10,18,22,29,55,19,16,26,40,18,15,14,18,26,39,39,38,14,23,24,22,20,51,66,36,20,20,23,24,28
16,Houston Westhollow C410/C3003,1,Reg,11,9,17,20,28,48,17,NA,NV,42,19,14,15,18,27,34,42,36,16,19,26,23,20,56,56,21,16,18,20,25,26
17,Houston Texas Avenue C411,1,Reg,9,6,16,20,48,42,11,11,35,42,21,15,14,18,31,54,44,39,9,22,24,21,21,65,45,28,15,16,24,29,34
18,Park Place C416,1,Reg,14,7,NA,NA,NA,NV,NV,NV,38,48,21,15,16,22,32,49,48,42,14,27,24,24,23,61,64,35,17,20,27,26,39
19,Sheldon C551,1,Non,13,10,16,31,43,36,16,12,36,60,27,19,20,29,46,72,66,43,14,23,19,17,24,48,38,36,20,14,27,44,47
20,Baytown Wetlands Center C552,1,Non,17,13,23,27,34,37,17,17,33,67,22,19,19,22,34,69,52,38,17,21,19,19,23,28,47,26,18,17,19,36,62
21,Crosby Library C553,1,Non,17,12,17,25,40,33,16,18,36,73,36,23,26,35,51,63,69,40,18,26,22,21,23,35,40,35,20,17,26,49,54
22,West Houston C554,1,Non,12,10,17,22,39,44,19,15,36,43,21,17,17,21,33,45,44,NV,18,29,36,27,26,72,57,43,17,21,27,27,30
23,Mercer Arboretum C557,1,Non,17,11,19,41,46,33,16,16,48,62,33,27,28,38,48,61,64,36,19,27,26,23,39,49,40,51,29,25,37,41,39
24,Tom Bass C558,1,Non,13,11,16,19,26,50,17,16,28,40,17,14,16,20,23,37,40,38,14,22,22,21,19,43,64,34,18,19,20,19,33
25,Katy Park C559,1,Non,13,11,16,22,35,45,21,15,25,36,18,15,16,19,26,33,39,35,17,20,36,29,21,54,47,41,18,21,22,22,26
26,Atascocita C560,1,Non,NV,11,17,37,42,33,16,18,41,63,33,23,23,33,52,70,73,38,18,27,22,21,33,44,38,43,32,22,31,46,45
27,Meyer Park C561,1,Non,15,10,22,37,49,38,16,15,60,51,25,19,22,32,38,67,51,31,21,31,29,25,36,69,41,51,22,25,36,29,31
28,Bunker Hill Village C562,1,Non,9,6,13,19,34,46,14,10,30,46,21,16,18,24,32,49,44,32,12,18,25,18,20,71,51,29,14,17,18,26,28
29,Clear Brook High School C570,1,Non,14,10,16,21,38,46,18,16,34,45,18,13,18,23,24,36,47,35,19,26,22,22,21,38,62,29,17,19,NV,NV,36
30,Clear Creek High School C571,1,Non,15,10,19,27,37,43,20,17,34,46,19,17,18,20,24,48,51,36,16,27,20,19,24,36,54,32,21,18,20,21,39
31,Clear Lake High School C572,1,Non,16,11,21,29,36,42,20,17,35,47,20,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,17,20,23,24,42
32,HRM-3 Haden Road C603/A114,1,Non,12,5,14,28,45,35,11,10,36,51,22,15,17,22,36,92,60,35,12,23,22,19,23,53,45,32,20,19,27,33,49
33,Wallisville Road C617,1,Non,19,12,25,30,40,41,20,21,40,64,27,22,23,27,53,65,63,40,18,27,24,23,25,39,44,30,19,21,23,51,58
34,Danciger C618,1,Non,18,16,18,20,20,47,20,16,18,30,15,13,15,16,18,27,37,35,14,21,23,19,18,28,41,33,19,18,16,20,24
35,Mustang Bayou C619,1,Non,16,20,22,23,24,51,25,23,NV,42,20,NV,18,20,22,27,45,33,18,22,21,21,19,45,62,37,24,21,18,19,25
36,Texas City 34th St. C620,1,Non,17,13,25,28,35,44,19,16,30,45,16,13,16,17,22,41,49,31,20,24,20,18,21,30,54,32,23,17,18,19,32
37,UH Moody Tower C695,1,Non,14,11,21,25,51,52,21,17,45,55,28,21,21,28,40,63,NV,NV,19,32,31,29,28,84,64,44,25,26,29,37,NV
38,U of H-Sugarland C696,1,Non,16,12,18,21,27,60,22,19,22,39,19,15,17,20,24,36,39,41,18,21,28,24,21,44,60,39,21,22,20,20,28
39,UH Coastal Center C697,1,Non,NV,16,26,24,33,53,22,19,30,46,24,21,23,26,29,43,53,40,23,29,29,22,22,37,54,34,25,20,22,21,33
40,UH WG Jones Forest C698,1,Non,22,16,24,48,47,39,18,22,46,56,31,24,29,44,44,60,53,43,28,29,27,24,47,38,42,51,32,32,46,29,35
41,UH West Liberty C699,1,Non,18,14,19,23,31,27,15,17,34,55,34,26,28,35,49,34,NV,NV,15,21,23,NV,NV,35,37,39,24,25,26,53,47
42,Lynchburg Ferry C1015/A165,1,Reg,19,12,24,32,37,38,21,21,31,71,22,18,20,26,39,84,61,42,20,25,22,22,25,39,45,35,20,21,25,35,51
43,Lake Jackson C1016,1,Reg,15,13,18,21,18,NV,18,16,19,28,15,14,15,15,14,22,38,28,14,21,21,19,18,26,41,35,20,16,17,15,32
44,Galveston 99th St. C1034/A320/X183,1,Reg,NA,NA,NA,NA,NA,NA,NV,16,26,30,15,13,14,14,15,29,47,28,24,25,24,20,23,35,51,38,23,NV,16,18,26
0,Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
1,Houston East C1/G316,2,Reg,49,35,30,42,41,33,22,29,22,19,15,15,17,23,28,34,23,26,28,37,46,51,34,54,30,36,31,29,30,13,
2,Houston Aldine C8/AF108/X150,2,Reg,65,40,35,49,52,47,32,37,27,23,17,18,22,27,38,42,28,33,41,50,63,61,NV,50,43,46,44,37,NV,21,
3,Channelview C15/AH115,3,Reg,46,36,35,46,41,38,27,28,22,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,Northwest Harris Co. C26/A110/X154,2,Reg,61,40,39,52,48,45,36,35,30,27,24,22,24,28,33,40,27,29,39,39,59,61,47,31,42,44,42,35,36,23,
5,Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,46,38,41,54,41,41,33,39,23,20,16,16,18,23,31,32,22,27,28,32,41,52,41,46,36,37,33,33,35,22,
6,Seabrook Friendship Park C45,1,Reg,40,36,44,59,38,36,35,32,21,19,15,16,19,20,29,29,19,22,23,29,36,48,38,30,38,34,31,29,31,22,
7,Houston Bayland Park C53/A146,1,Reg,43,34,37,53,43,32,28,32,22,22,16,15,18,20,24,34,20,21,28,26,34,39,34,35,30,31,31,28,40,19,
8,Conroe Relocated C78/A321,1,Reg,68,43,36,42,54,47,28,28,22,32,30,28,28,38,43,49,36,41,47,45,66,60,46,33,49,42,50,25,27,20,
9,Houston Regional Office C81,1,Reg,40,31,31,46,39,29,19,25,19,16,12,13,17,19,26,29,19,20,25,28,34,38,28,31,26,34,28,NV,29,14,
10,Manvel Croix Park C84,1,Reg,41,33,39,56,40,31,30,32,24,19,15,16,18,22,32,32,23,23,25,24,31,38,33,29,31,31,30,25,33,23,
11,Clinton C403/C304/AH113,3,Reg,44,31,29,49,40,33,25,34,21,18,13,14,18,20,28,28,21,22,25,31,38,43,33,40,31,36,30,26,34,19,
12,Houston North Wayside C405/C1033,1,Reg,48,31,26,43,40,35,23,29,21,18,14,15,18,21,25,32,21,23,30,37,45,45,28,45,30,36,32,29,29,17,
13,Houston Monroe C406,1,Reg,36,31,34,45,35,29,27,30,21,20,14,14,16,20,26,27,21,21,22,23,28,38,33,28,29,31,25,24,32,20,
14,Lang C408,2,Reg,46,36,36,46,46,39,21,25,22,21,17,17,19,22,29,38,22,25,32,30,44,46,33,NV,NV,34,33,35,31,17,
15,Houston Croquet C409,2,Reg,41,33,37,54,42,31,28,NV,23,22,16,15,18,20,26,33,20,21,28,24,30,38,34,32,32,31,31,25,41,20,
16,Houston Westhollow C410/C3003,1,Reg,41,33,39,53,44,34,28,32,21,19,16,17,18,21,24,33,20,21,24,26,32,39,28,33,28,31,29,28,40,20,
17,Houston Texas Avenue C411,1,Reg,40,29,28,41,39,32,21,26,21,18,14,14,17,20,26,29,20,20,24,27,35,40,30,30,29,35,29,29,35,18,
18,Park Place C416,1,Reg,45,35,35,50,NV,NA,NA,NV,24,21,16,16,19,23,30,32,23,24,26,28,35,45,37,33,32,38,31,28,35,19,
19,Sheldon C551,1,Non,55,37,37,48,46,43,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NV,38,42,28,30,19,
20,Baytown Wetlands Center C552,1,Non,43,37,43,51,39,36,32,28,23,20,16,17,21,21,33,31,21,24,30,33,40,45,38,32,36,33,33,27,35,21,
21,Crosby Library C553,1,Non,69,52,49,50,56,49,NV,NA,NA,NA,NA,NA,NA,NA,NV,46,28,38,47,47,60,56,39,52,40,37,41,28,32,20,
22,West Houston C554,1,Non,48,33,39,52,44,40,26,33,24,23,19,19,21,24,28,39,24,25,32,28,43,47,35,37,33,35,34,32,41,22,
23,Mercer Arboretum C557,1,Non,73,45,38,46,58,53,31,35,29,28,23,24,NV,36,45,52,34,42,50,57,71,69,50,54,47,49,51,23,32,22,
24,Tom Bass C558,1,Non,37,33,37,52,38,29,26,29,21,17,14,15,18,20,29,30,21,21,23,24,30,38,33,29,30,30,27,27,35,20,
25,Katy Park C559,1,Non,43,32,36,52,40,32,27,32,23,19,14,15,17,19,23,30,18,19,22,26,39,39,34,29,33,31,33,25,41,22,
26,Atascocita C560,1,Non,66,43,39,46,52,45,27,33,26,23,19,21,23,29,NV,NV,31,37,43,53,70,69,44,69,41,42,48,33,31,NV,
27,Meyer Park C561,1,Non,62,37,39,48,52,47,35,34,30,26,23,21,23,31,36,46,31,35,42,43,60,61,46,42,44,48,42,37,34,22,
28,Bunker Hill Village C562,1,Non,47,36,35,51,47,38,23,27,22,22,17,16,19,23,26,35,22,23,29,30,38,44,32,35,25,30,31,30,37,17,
29,Clear Brook High School C570,1,Non,37,32,39,53,37,28,30,31,22,19,14,15,17,20,29,25,20,22,21,25,30,44,34,30,32,32,27,25,29,20,
30,Clear Creek High School C571,1,Non,36,33,42,57,34,29,32,31,18,17,15,15,17,19,29,28,19,21,21,29,29,48,35,33,37,34,29,32,29,22,
31,Clear Lake High School C572,1,Non,41,36,42,56,39,36,33,33,21,18,15,15,17,20,29,29,20,23,23,29,31,48,37,33,36,34,31,31,32,22,
32,HRM-3 Haden Road C603/A114,1,Non,47,33,32,46,36,29,NV,NA,NA,NA,NV,13,16,21,28,33,21,25,28,35,43,50,32,55,30,33,31,23,33,17,
33,Wallisville Road C617,1,Non,55,42,47,48,47,42,31,34,28,25,20,19,24,29,37,39,24,33,38,43,48,49,39,60,41,35,34,32,37,22,
34,Danciger C618,1,Non,34,31,43,51,37,25,29,38,23,20,18,17,19,20,26,28,21,20,22,21,24,31,29,26,27,30,29,27,31,26,
35,Mustang Bayou C619,1,Non,33,35,43,50,37,28,29,29,21,19,17,15,19,21,30,28,21,22,20,20,24,35,30,26,27,25,25,24,24,20,
36,Texas City 34th St. C620,1,Non,32,33,44,57,33,27,29,27,18,16,13,13,17,20,28,25,19,18,17,19,28,45,33,28,30,28,27,28,25,20,
37,UH Moody Tower C695,1,Non,49,40,43,58,49,42,32,36,31,27,21,20,24,28,36,39,28,29,31,34,43,51,44,40,38,44,35,41,42,24,
38,U of H-Sugarland C696,1,Non,NA,NA,NV,50,40,30,34,35,20,18,15,16,18,20,24,29,19,NV,22,25,34,35,30,29,29,30,29,26,44,22,
39,UH Coastal Center C697,1,Non,33,38,43,56,36,29,32,29,21,19,16,16,18,18,30,27,19,20,17,19,28,43,37,32,30,28,27,29,26,22,
40,UH WG Jones Forest C698,1,Non,82,48,39,53,63,60,35,36,32,36,33,33,31,43,NV,NV,41,47,58,58,80,80,60,42,62,54,60,35,36,25,
41,UH West Liberty C699,1,Non,47,41,38,33,44,41,21,28,26,21,18,17,22,29,34,39,25,35,41,38,49,43,33,38,37,32,31,27,28,19,
42,Lynchburg Ferry C1015/A165,1,Reg,46,41,39,48,40,38,32,35,25,20,18,16,20,21,30,32,23,26,29,36,49,48,42,52,42,34,37,29,37,23,
43,Lake Jackson C1016,1,Reg,30,28,43,45,33,24,27,32,18,16,15,15,16,17,26,25,16,17,17,17,20,31,24,25,26,26,25,21,24,18,
44,Galveston 99th St. C1034/A320/X183,1,Reg,34,38,40,55,40,28,NV,27,19,17,15,15,17,23,28,25,18,16,18,18,29,39,34,15,22,25,23,24,18,NA,
0,Monitoring_Site,POC,Flag,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
1,Houston East C1/G316,2,Reg,27,37,26,43,57,16,9,16,19,20,27,37,53,69,68,33,28,29,29,NA,NA,NA,NA,NA,NA,NA,NA,NV,55,54,
2,Houston Aldine C8/AF108/X150,2,Reg,38,46,31,42,58,21,12,15,25,25,36,37,49,87,88,37,37,36,32,NA,NA,NV,35,36,40,40,40,57,58,61,
3,Channelview C15/AH115,3,Reg,29,34,35,43,52,16,11,16,19,21,32,35,53,66,67,38,33,37,36,30,NV,34,30,26,42,41,41,61,57,62,
4,Northwest Harris Co. C26/A110/X154,2,Reg,53,57,39,43,67,23,14,22,20,21,22,32,49,82,94,62,48,41,37,39,46,43,35,43,44,41,40,56,54,64,
5,Hou.DeerPrk2 C35/235/1001/AFH139FP239,1,Reg,37,43,40,64,60,22,NA,NA,20,21,25,48,65,70,73,49,35,35,34,36,42,36,34,30,50,42,45,69,66,74,
6,Seabrook Friendship Park C45,1,Reg,34,39,40,64,58,25,19,21,17,16,22,51,62,63,54,37,35,36,34,38,40,35,31,31,40,43,43,77,67,71,
7,Houston Bayland Park C53/A146,1,Reg,37,38,39,54,62,20,13,16,16,19,24,38,69,55,70,57,31,34,34,33,38,34,30,32,55,43,44,57,60,71,
8,Conroe Relocated C78/A321,1,Reg,34,41,29,39,54,19,16,26,28,29,25,23,39,65,66,39,44,39,38,37,40,36,37,29,35,40,37,51,52,56,
9,Houston Regional Office C81,1,Reg,23,29,30,44,58,15,8,12,17,14,21,42,53,59,62,41,23,27,27,19,26,26,22,23,36,35,39,57,56,60,
10,Manvel Croix Park C84,1,Reg,37,39,48,68,64,20,18,19,23,17,22,36,65,57,77,56,31,29,35,40,41,36,31,30,62,52,54,70,72,88,
11,Clinton C403/C304/AH113,3,Reg,33,30,35,49,60,18,11,14,17,14,22,46,62,67,64,46,29,34,30,29,34,28,25,29,48,40,41,59,60,64,
12,Houston North Wayside C405/C1033,1,Reg,32,35,32,41,54,18,8,14,20,18,30,37,46,76,72,37,30,33,29,26,32,29,26,29,38,36,37,54,55,56,
13,Houston Monroe C406,1,Reg,32,31,36,61,55,19,15,16,17,15,19,45,61,57,61,43,29,30,29,31,34,32,26,26,48,41,39,51,52,64,
14,Lang C408,2,Reg,40,36,36,45,62,20,6,16,19,20,29,40,52,71,79,48,31,36,31,22,31,33,29,32,49,40,37,56,51,60,
15,Houston Croquet C409,2,Reg,36,33,39,64,60,20,15,17,17,17,23,36,77,54,70,53,31,32,32,36,38,31,29,31,56,44,46,60,62,74,
16,Houston Westhollow C410/C3003,1,Reg,36,34,37,49,65,19,11,16,14,16,21,32,63,51,66,60,30,33,33,34,36,29,26,31,54,37,38,52,52,65,
17,Houston Texas Avenue C411,1,Reg,29,32,31,48,62,18,10,13,19,16,24,44,54,59,62,45,29,33,30,25,34,31,24,28,45,40,37,52,51,60,
18,Park Place C416,1,Reg,38,38,35,58,57,20,14,17,22,18,24,51,73,66,70,52,34,34,33,31,36,36,29,29,52,44,44,60,59,67,
19,Sheldon C551,1,Non,34,42,33,46,57,17,12,17,23,24,34,34,51,73,72,37,34,36,35,31,38,35,27,30,39,41,41,62,56,62,
20,Baytown Wetlands Center C552,1,Non,30,33,37,53,55,21,16,21,18,17,24,36,55,58,63,39,35,37,36,34,38,31,30,28,42,43,42,61,56,65,
21,Crosby Library C553,1,Non,34,36,31,45,60,17,16,22,27,29,38,29,48,64,67,35,39,39,38,38,NV,NV,31,30,39,41,41,59,55,62,
22,West Houston C554,1,Non,49,45,40,54,76,19,11,19,20,19,27,33,64,66,76,67,36,41,35,38,38,34,29,35,54,41,40,55,55,67,
23,La Porte Sylvan Beach C556,1,Non,36,39,40,60,58,26,20,24,19,18,24,49,67,62,70,39,38,39,38,38,42,37,34,31,41,45,44,70,63,74,
24,Mercer Arboretum C557,1,Non,41,52,32,42,65,22,15,21,30,29,36,34,47,93,89,45,44,41,37,39,40,38,41,35,43,41,40,56,58,62,
25,Tom Bass C558,1,Non,33,33,38,66,58,18,15,18,20,15,19,35,62,55,70,50,30,30,30,36,37,32,29,29,56,47,47,65,60,76,
26,Katy Park C559,1,Non,43,39,32,46,71,18,11,14,15,15,20,28,57,51,64,66,32,32,32,38,38,32,28,32,48,38,38,53,57,65,
27,Atascocita C560,1,Non,35,45,31,41,59,19,15,20,28,28,38,28,46,77,75,37,40,38,36,37,42,40,35,33,35,38,39,56,55,58,
28,Meyer Park C561,1,Non,45,44,26,35,57,20,13,18,21,20,23,30,44,81,88,47,42,38,33,36,39,37,33,36,41,39,38,53,50,59,
29,Bunker Hill Village C562,1,Non,41,40,43,52,74,18,10,16,17,17,24,34,63,56,72,57,31,36,32,33,32,32,29,29,54,42,44,57,59,70,
30,Huffman Wolf Road C563,1,Non,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,31,29,36,41,41,54,52,61,
31,Clear Brook High School C570,1,Non,32,31,43,60,56,18,15,16,17,17,17,49,55,62,69,45,28,27,30,28,35,33,28,28,43,43,47,68,74,74,
